eatABagOfDicks,516451550592368000,https://i.imgur.com/DFjhEhu.jpg,2,https://share.taxiera.link/516451550592368000/b5b31311-c4f1-4866-84b6-2bfdd178057a
block,340308249871908000,https://i.imgur.com/4TH72nO.gif,2,https://share.taxiera.link/340308249871908000/7bf32805-cce5-4bbc-8391-04a755d68a16
count,516451550592368000,https://i.imgur.com/FYcXbmZ.gif,1,https://share.taxiera.link/516451550592368000/2346f706-6ae1-496d-a4ec-faf2d0d2430a
popcorn,516451550592368000,https://i.imgur.com/VJYpYOt.gif,1,https://share.taxiera.link/516451550592368000/02e43d3e-ccbe-4e05-b8b3-da7281ae93ff
hehe,340308249871908000,https://i.imgur.com/v2Jms7d.gif,1,https://share.taxiera.link/340308249871908000/b128b343-1142-46b0-aac6-702041f134fc
vipul,620751263159549000,https://i.imgur.com/KePap2d.jpg,4,https://share.taxiera.link/620751263159549000/57bdc73e-3907-4d06-a1df-3bed8908a7a1
salty,516451550592368000,https://i.imgur.com/5yZTrgc.png,0,https://share.taxiera.link/516451550592368000/0d75bd26-3cb3-48bc-b891-6ff330d08447
nitpicking,434507972379672000,https://i.imgur.com/V3mgvQQ.gif,2,https://share.taxiera.link/434507972379672000/adecb7dd-d530-47d8-bcca-34e44395d120
objection,434507972379672000,https://i.imgur.com/ydIm4bZ.png,1,https://share.taxiera.link/434507972379672000/3f965463-654c-4d79-bc2c-b2020b339bca
eyeroll,516451550592368000,https://i.imgur.com/g5v14cf.gif,2,https://share.taxiera.link/516451550592368000/8f8b21c9-21ff-4a46-99d4-e1c034715dec
so salty,516451550592368000,https://i.imgur.com/HfnLPFE.jpg,0,https://share.taxiera.link/516451550592368000/1b9d6173-dc34-49b5-b430-062c25cea283
ultra_bruh,192158164798406000,https://i.imgur.com/MjprzlY.jpg,1,https://share.taxiera.link/192158164798406000/11142d89-7bc6-4674-b8c7-35c94957f63d
poke-design-shit,229651386223034000,https://i.imgur.com/q7HgwJJ.png,2,https://share.taxiera.link/229651386223034000/fc4dc389-acf0-47b4-b819-75a83d6da3c4
give_me,229651386223034000,https://i.imgur.com/SQqD9Wf.gif,4,https://share.taxiera.link/229651386223034000/59eb6df1-d117-405f-b4f1-de15fafd92cf
satisfied,340308249871908000,https://i.imgur.com/UAh7Ajc.png,1,https://share.taxiera.link/340308249871908000/96d7c462-c6ad-4a83-8001-70afd8da8a3d
stop,340308249871908000,https://i.imgur.com/AUMA8jS.png,3,https://share.taxiera.link/340308249871908000/a3038937-c36d-43a9-8ac0-8fab24e5eb00
again,229651386223034000,https://i.imgur.com/NCtff8f.png,1,https://share.taxiera.link/229651386223034000/42da2982-979e-4654-9678-453bf9f690b7
is that so,229651386223034000,https://i.imgur.com/SB7e171.png,2,https://share.taxiera.link/229651386223034000/dd7654ff-d3c5-4b85-97d6-a559665816af
reverse,229651386223034000,https://i.imgur.com/29me4An.png,7,https://share.taxiera.link/229651386223034000/5ca50a57-4b4a-4325-810b-fc8dac958014
eat a bag of dicks,434507972379672000,https://i.imgur.com/0CG0bv6.jpg,1,https://share.taxiera.link/434507972379672000/c802ce70-c550-41ec-a13c-856e5460ce89
stone-help,229651386223034000,https://i.imgur.com/r1hRrbL.jpg,4,https://share.taxiera.link/229651386223034000/821069d1-f953-4a70-9491-89f9ac8db468
N,340308249871908000,https://i.imgur.com/tHoXiMZ.png,181,https://share.taxiera.link/340308249871908000/31c4bee9-c775-425e-aa43-6182a1a25269
ubully,192768112209297000,https://i.imgur.com/nVdahlu.jpg,2,https://share.taxiera.link/192768112209297000/6311c473-6a37-452b-8bb3-2bf2e8d79e5a
peace,229651386223034000,https://i.imgur.com/VhdVK3e.gif,5,https://share.taxiera.link/229651386223034000/7b7335af-96ef-4f2f-8ceb-080ade969be5
whynotboth,434507972379672000,https://i.imgur.com/8gOllyY.gif,5,https://share.taxiera.link/434507972379672000/53a84f6a-d06b-4026-ad59-43ffe397c08b
o,340308249871908000,https://i.imgur.com/40kXHyt.png,78,https://share.taxiera.link/340308249871908000/f2b1f149-83a7-4845-bf54-5dbc6ad4728c
bruh,434507972379672000,https://i.imgur.com/n3m6mvH.gif,12,https://share.taxiera.link/434507972379672000/cb854f9d-82bb-48f1-af6d-55c66991eba2
neck,154221611166334000,https://i.imgur.com/dMRtMIg.jpg,19,https://share.taxiera.link/154221611166334000/0527882f-e50d-4d3e-b82a-55bb54bd9db5
job,434507972379672000,https://i.imgur.com/T5HeUam.gif,24,https://share.taxiera.link/434507972379672000/125194c6-2758-48f4-9888-ca3df73e662b
gz,434507972379672000,https://i.imgur.com/EUkVxCd.gif,13,https://share.taxiera.link/434507972379672000/8c4eec49-87ca-4fcd-8784-692602c1534f
in-da-box,229651386223034000,https://i.imgur.com/m7ts3Uh.jpg,5,https://share.taxiera.link/229651386223034000/051af6f8-d371-46df-bf4d-d8c5fecff93f
come,154221611166334000,https://i.imgur.com/sxQw0Oa.jpg,28,https://share.taxiera.link/154221611166334000/01635ffc-87ce-4a2a-b460-e62bbd9ff95a
rooddood,220606145759412000,https://i.imgur.com/TmI0Gq2.jpg,17,https://share.taxiera.link/220606145759412000/8e7518fd-9a2f-4155-b7ee-5bc58613fe47
logan,340308249871908000,https://i.imgur.com/BAovBLC.png,5,https://share.taxiera.link/340308249871908000/0c6c8130-c0ae-4bed-bba2-e2cb61f57d5d
baby,154221611166334000,https://i.imgur.com/lkpW052.jpg,3,https://share.taxiera.link/154221611166334000/cde7a53c-d595-4f66-8559-5733e7c40a8d
chacha,434507972379672000,https://i.imgur.com/bN4bPb2.jpg,6,https://share.taxiera.link/434507972379672000/a1af37c4-3fb6-4dc8-aa3b-2f7a6f5fb2b6
k,434507972379672000,https://i.imgur.com/FtBdjTG.gif,6,https://share.taxiera.link/434507972379672000/2e8543b8-9b6f-4fd5-bb74-a24330ce31ea
judge,154221611166334000,https://i.imgur.com/XXw3CdM.jpg,8,https://share.taxiera.link/154221611166334000/6758ecc1-76de-481b-a378-567a86d1a605
ShutUpAndrew,340308249871908000,https://i.imgur.com/4zejTrW.png,51,https://share.taxiera.link/340308249871908000/98fd9a5a-ff7a-4960-9af1-5c082ce7c590
disgusting,229651386223034000,https://i.imgur.com/AfYMxpV.png,14,https://share.taxiera.link/229651386223034000/d1e493ca-46b6-4f17-965f-a28db171ff85
extrathicc,340308249871908000,https://i.imgur.com/ysonuPF.gif,5,https://share.taxiera.link/340308249871908000/2565840b-0bfd-4205-a119-411e32481ecd
