whyuno,620751263159549952,https://i.imgur.com/a1CEBCb.jpg,2
your dumbass,229651386223034368,https://i.imgur.com/JL4B3fo.jpg,3
ehhh,620751263159549952,https://i.imgur.com/QM8fvGc.jpg,8
fun-programming,229651386223034368,https://i.imgur.com/AW4t8FN.png,3
stops,154221611166334976,https://i.imgur.com/BqGOmHq.jpg,10
LBiden,340308249871908864,https://i.imgur.com/PUGANSz.jpeg,2
addict,434507972379672587,https://i.imgur.com/Nxv1KLL.gif,1
beat,434507972379672587,https://i.imgur.com/CLNvRWD.png,0
why,192768112209297409,https://i.imgur.com/VA8eBJp.jpeg,5
andrew,154221611166334976,https://i.imgur.com/FFCZSz3.jpeg,4
kerchak,220606145759412224,https://i.imgur.com/DpWDngp.png,46
boomer,353997343437357068,https://i.imgur.com/iFm9ipM.png,13
squadslap,340308249871908864,https://i.imgur.com/o6PgpAk.gif,0
bonjour,340308249871908864,https://i.imgur.com/nxvO2Ad.png,0
urbie,340308249871908864,https://i.imgur.com/bRjWiYJ.gif,0
yikes,340308249871908864,https://i.imgur.com/FvgdyoE.jpg,75
partytime,154221611166334976,https://i.imgur.com/Ojc3K6w.jpeg,2
gimme some of them wings,229651386223034368,https://i.imgur.com/K4beS9p.mp4,6
bitchnigga,154221611166334976,https://i.imgur.com/J4giR0G.gif,14
read,285564238385119242,https://i.imgur.com/1OAZOF2.png,24
craigbrendan,340308249871908864,https://i.imgur.com/NICJRvl.png,1
bullshit,154221611166334976,https://i.imgur.com/dSI7K8S.png,4
felt,154221611166334976,https://i.imgur.com/Zv14Fmd.jpg,3
figbait,340308249871908864,https://i.imgur.com/JNKFKdU.gif,62
hbd,434507972379672587,https://i.imgur.com/zG0DrOP.jpg,26
kys,220606145759412224,https://i.imgur.com/bUSDPCr.png,54
sip,164379851145478144,https://i.imgur.com/ozqykBs.png,3
fug,154221611166334976,https://i.imgur.com/9U75tl9.jpeg,3
oh baby,434507972379672587,https://i.imgur.com/B28jsLJ.png,12
wiggly wednesday,434507972379672587,https://i.imgur.com/mOfgdQ4.png,3
