eatABagOfDicks	516451550592368640	https://i.imgur.com/DFjhEhu.jpg	2	https://share.taxiera.link/516451550592368640/9ad7eeb7-4523-4b0a-990d-f5bccba1e0a1
block	340308249871908864	https://i.imgur.com/4TH72nO.gif	2	https://share.taxiera.link/340308249871908864/654b4f27-8935-4da3-b77a-ba0b06a97a95
count	516451550592368640	https://i.imgur.com/FYcXbmZ.gif	1	https://share.taxiera.link/516451550592368640/f8747f3e-13e8-457f-839f-4c5bed3c6360
popcorn	516451550592368640	https://i.imgur.com/VJYpYOt.gif	1	https://share.taxiera.link/516451550592368640/7dae8553-bb91-49c4-a319-38523b648050
hehe	340308249871908864	https://i.imgur.com/v2Jms7d.gif	1	https://share.taxiera.link/340308249871908864/58ae1816-59f8-44b8-ab8d-546d0f2ce902
vipul	620751263159549952	https://i.imgur.com/KePap2d.jpg	4	https://share.taxiera.link/620751263159549952/bf87ef59-ef86-4191-a05c-dd107dca1631
salty	516451550592368640	https://i.imgur.com/5yZTrgc.png	0	https://share.taxiera.link/516451550592368640/b9d36aac-d73d-4a4b-ba83-4edbea6edc35
nitpicking	434507972379672587	https://i.imgur.com/V3mgvQQ.gif	2	https://share.taxiera.link/434507972379672587/71798c47-0983-41a5-80cd-e183d22d1d91
objection	434507972379672587	https://i.imgur.com/ydIm4bZ.png	1	https://share.taxiera.link/434507972379672587/93663355-b05a-4f9f-8be2-5c2b9b1b26d7
eyeroll	516451550592368640	https://i.imgur.com/g5v14cf.gif	2	https://share.taxiera.link/516451550592368640/c514e1dc-dba6-4780-823f-f31d72da8643
so salty	516451550592368640	https://i.imgur.com/HfnLPFE.jpg	0	https://share.taxiera.link/516451550592368640/a172103c-a37e-47ed-bc97-b6f4c6bd0234
ultra_bruh	192158164798406658	https://i.imgur.com/MjprzlY.jpg	1	https://share.taxiera.link/192158164798406658/6ff3d156-874b-4ab4-a9a7-44646ded0cff
poke-design-shit	229651386223034368	https://i.imgur.com/q7HgwJJ.png	2	https://share.taxiera.link/229651386223034368/6d812a2a-38ce-4f83-86db-8ab048fefd8f
give_me	229651386223034368	https://i.imgur.com/SQqD9Wf.gif	4	https://share.taxiera.link/229651386223034368/b8b2cfd0-1c64-45a6-bd90-2d4c6084cbae
satisfied	340308249871908864	https://i.imgur.com/UAh7Ajc.png	1	https://share.taxiera.link/340308249871908864/0b2b5102-1ab6-46af-926c-1f390fd7233d
stop	340308249871908864	https://i.imgur.com/AUMA8jS.png	3	https://share.taxiera.link/340308249871908864/5b353921-1239-42a8-a47b-5966d6141e15
again	229651386223034368	https://i.imgur.com/NCtff8f.png	1	https://share.taxiera.link/229651386223034368/7c5ce3f2-9c27-4ad3-b79e-f8e5592f38da
is that so	229651386223034368	https://i.imgur.com/SB7e171.png	2	https://share.taxiera.link/229651386223034368/77ef8bc1-699b-4e8c-b9f9-a70b0e24e7d8
reverse	229651386223034368	https://i.imgur.com/29me4An.png	7	https://share.taxiera.link/229651386223034368/bff1b080-1c9e-420f-aaf6-758fbe176a4e
eat a bag of dicks	434507972379672587	https://i.imgur.com/0CG0bv6.jpg	1	https://share.taxiera.link/434507972379672587/e74c4977-7a05-44c9-8f7f-88e0a8cdd50a
stone-help	229651386223034368	https://i.imgur.com/r1hRrbL.jpg	4	https://share.taxiera.link/229651386223034368/b6b28616-f5ff-461f-ba09-935fe8f07e63
